SubSectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,Silver,,,Software,,,Steel,,,Railroads,,,Gold,,,BanksUS,,,Transportation,,,Retail,,,Pharma,,,Metals & Mining,,,Chemicals,,,SOX,,,Biotech,,,Agriculture,,,Homebuilders,,,Airlines,,,Aerospace,,,Automotive,
SPX Index,,,SLVRLN Index,,,S5SFTW Index,,,S5STEL Index,,,S5RAIL Index,,,Gold,,,S5BANKX Index,,,S5TRAN Index,,,S5RETL Index,,,S5PHARX Index,,,S5METL Index,,,S5CHEM Index,,,SOX Index,,,S5BIOTX Index,,,S5AGRI Index,,,S5HOME Index,,,S5AIRLX Index,,,S5AERO Index,,,S5AUCO Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2016/07/06,2099.72998,,2016/07/05,1973,,2016/07/05,1050.44,,2016/07/05,114.28,,2016/07/05,964.23,,2016/07/05,1350.75,,2016/07/05,197.72,,2016/07/05,487.17,,2016/07/05,1298.35,,2016/07/05,625.27,,2016/07/05,98.57,,2016/07/05,466.55,,2016/07/05,672.5122,,2016/07/05,3350.12,,2016/07/05,725.08,,2016/07/05,695.51,,2016/07/05,224.67,,2016/07/05,766.42,,2016/07/05,109.05
2016/07/05,2088.550049,,2016/07/04,2036,,2016/07/01,1054.52,,2016/07/01,116.63,,2016/07/01,973.55,,2016/07/04,1350.75,,2016/07/01,203.16,,2016/07/01,492,,2016/07/01,1300.3,,2016/07/01,622.26,,2016/07/01,101.33,,2016/07/01,474.49,,2016/07/01,685.0104,,2016/07/01,3375.33,,2016/07/01,736.49,,2016/07/01,698.49,,2016/07/01,229.02,,2016/07/01,774.61,,2016/07/01,113.13
2016/07/01,2102.949951,,2016/07/01,1924,,2016/06/30,1051.31,,2016/06/30,115.33,,2016/06/30,972.34,,2016/07/01,1340,,2016/06/30,205.12,,2016/06/30,488.35,,2016/06/30,1285.35,,2016/06/30,619.13,,2016/06/30,99.02,,2016/06/30,475.46,,2016/06/30,691.668,,2016/06/30,3320.88,,2016/06/30,741.33,,2016/06/30,693.55,,2016/06/30,225.85,,2016/06/30,773.85,,2016/06/30,110.69
2016/06/30,2098.860107,,2016/06/30,1836,,2016/06/29,1043.64,,2016/06/29,111.85,,2016/06/29,959.88,,2016/06/30,1320.75,,2016/06/29,202.55,,2016/06/29,482.53,,2016/06/29,1280.3,,2016/06/29,613.34,,2016/06/29,95.99,,2016/06/29,470.34,,2016/06/29,679.368,,2016/06/29,3291.59,,2016/06/29,718.68,,2016/06/29,683.26,,2016/06/29,223.52,,2016/06/29,759.22,,2016/06/29,109.86
2016/06/29,2070.77002,,2016/06/29,1821,,2016/06/28,1026.06,,2016/06/28,110.47,,2016/06/28,941.5,,2016/06/29,1321.5,,2016/06/28,197.25,,2016/06/28,472,,2016/06/28,1264.8,,2016/06/28,602.98,,2016/06/28,95.58,,2016/06/28,461.92,,2016/06/28,665.754,,2016/06/28,3238.56,,2016/06/28,701.05,,2016/06/28,668.61,,2016/06/28,215.17,,2016/06/28,749.29,,2016/06/28,107.89
2016/06/28,2036.089966,,2016/06/28,1757,,2016/06/27,1005.08,,2016/06/27,108.09,,2016/06/27,915.81,,2016/06/28,1309.7,,2016/06/27,191.12,,2016/06/27,461.36,,2016/06/27,1240.68,,2016/06/27,592.5,,2016/06/27,93.91,,2016/06/27,460.55,,2016/06/27,648.3169,,2016/06/27,3141.95,,2016/06/27,676.51,,2016/06/27,650.27,,2016/06/27,208.08,,2016/06/27,740.95,,2016/06/27,105.87
2016/06/27,2000.540039,,2016/06/27,1770,,2016/06/24,1027.97,,2016/06/24,111.73,,2016/06/24,949.68,,2016/06/27,1324.55,,2016/06/24,198.86,,2016/06/24,476.25,,2016/06/24,1257.86,,2016/06/24,595.68,,2016/06/24,95.75,,2016/06/24,476.81,,2016/06/24,675.3975,,2016/06/24,3203.2,,2016/06/24,700.02,,2016/06/24,666.79,,2016/06/24,219.66,,2016/06/24,752.28,,2016/06/24,109.71
2016/06/24,2037.300049,,2016/06/24,1804,,2016/06/23,1073.21,,2016/06/23,117.87,,2016/06/23,991.53,,2016/06/24,1315.5,,2016/06/23,213.36,,2016/06/23,499.11,,2016/06/23,1294.37,,2016/06/23,608.81,,2016/06/23,99.52,,2016/06/23,499.9,,2016/06/23,716.6747,,2016/06/23,3337.22,,2016/06/23,738.22,,2016/06/23,691.37,,2016/06/23,236.72,,2016/06/23,773.42,,2016/06/23,117.59
2016/06/23,2113.320068,,2016/06/23,1729,,2016/06/22,1058.17,,2016/06/22,115.7,,2016/06/22,978.88,,2016/06/23,1262.15,,2016/06/22,207.77,,2016/06/22,495.39,,2016/06/22,1280.29,,2016/06/22,603.18,,2016/06/22,98.25,,2016/06/22,492.5,,2016/06/22,698.2469,,2016/06/22,3285.94,,2016/06/22,725.94,,2016/06/22,681.15,,2016/06/22,237.71,,2016/06/22,767.65,,2016/06/22,115.66
2016/06/22,2085.449951,,2016/06/22,1720,,2016/06/21,1063.61,,2016/06/21,116.68,,2016/06/21,978.06,,2016/06/22,1264.85,,2016/06/21,208.43,,2016/06/21,498.96,,2016/06/21,1282.63,,2016/06/21,601.99,,2016/06/21,97.87,,2016/06/21,491.87,,2016/06/21,699.3983,,2016/06/21,3261.34,,2016/06/21,724.91,,2016/06/21,686.04,,2016/06/21,238.59,,2016/06/21,769.18,,2016/06/21,115.94
2016/06/21,2088.899902,,2016/06/21,1736,,2016/06/20,1055.45,,2016/06/20,119.74,,2016/06/20,984.44,,2016/06/21,1272.6,,2016/06/20,207.2,,2016/06/20,497.98,,2016/06/20,1283.48,,2016/06/20,602.7,,2016/06/20,98.63,,2016/06/20,493.39,,2016/06/20,697.0838,,2016/06/20,3301.97,,2016/06/20,733.72,,2016/06/20,689.24,,2016/06/20,234.71,,2016/06/20,771.32,,2016/06/20,117.13
2016/06/20,2083.25,,2016/06/20,1733.5,,2016/06/17,1049.19,,2016/06/17,117.52,,2016/06/17,977.53,,2016/06/20,1281.8,,2016/06/17,206.07,,2016/06/17,493.69,,2016/06/17,1272.65,,2016/06/17,599.54,,2016/06/17,97.23,,2016/06/17,492.45,,2016/06/17,689.0901,,2016/06/17,3294.23,,2016/06/17,731.3,,2016/06/17,684.9,,2016/06/17,233.04,,2016/06/17,764.26,,2016/06/17,115.17
2016/06/17,2071.219971,,2016/06/17,1737,,2016/06/16,1058.98,,2016/06/16,118.22,,2016/06/16,969.6,,2016/06/17,1290.7,,2016/06/16,205.57,,2016/06/16,490.85,,2016/06/16,1277.85,,2016/06/16,608.03,,2016/06/16,96.24,,2016/06/16,490.17,,2016/06/16,694.7849,,2016/06/16,3350.58,,2016/06/16,726.81,,2016/06/16,675.41,,2016/06/16,232.32,,2016/06/16,766.48,,2016/06/16,114.34
2016/06/16,2077.98999,,2016/06/16,1771,,2016/06/15,1056.88,,2016/06/15,117.75,,2016/06/15,970.58,,2016/06/16,1310.75,,2016/06/15,205.59,,2016/06/15,492.9,,2016/06/15,1271.84,,2016/06/15,606.42,,2016/06/15,97.23,,2016/06/15,487.28,,2016/06/15,694.855,,2016/06/15,3338.23,,2016/06/15,728.54,,2016/06/15,678.36,,2016/06/15,237.38,,2016/06/15,766.27,,2016/06/15,113.59
2016/06/15,2071.5,,2016/06/15,1741,,2016/06/14,1059.56,,2016/06/14,115.58,,2016/06/14,972.87,,2016/06/15,1283.3,,2016/06/14,205.5,,2016/06/14,492.85,,2016/06/14,1268.66,,2016/06/14,611.41,,2016/06/14,93.55,,2016/06/14,487.84,,2016/06/14,695.4679,,2016/06/14,3354.21,,2016/06/14,722.14,,2016/06/14,672.84,,2016/06/14,236.96,,2016/06/14,766.8,,2016/06/14,112.96
2016/06/14,2075.320068,,2016/06/14,1725,,2016/06/13,1057.54,,2016/06/13,116.66,,2016/06/13,980.18,,2016/06/14,1287.15,,2016/06/13,210.16,,2016/06/13,500.67,,2016/06/13,1274.06,,2016/06/13,607.4,,2016/06/13,95.24,,2016/06/13,491.23,,2016/06/13,695.4233,,2016/06/13,3366.89,,2016/06/13,722.83,,2016/06/13,679.32,,2016/06/13,247.98,,2016/06/13,764.12,,2016/06/13,113.89
2016/06/13,2079.060059,,2016/06/13,1732,,2016/06/10,1070.45,,2016/06/10,117.87,,2016/06/10,983.12,,2016/06/13,1280.8,,2016/06/10,212.45,,2016/06/10,507.55,,2016/06/10,1284.34,,2016/06/10,610.9,,2016/06/10,95.69,,2016/06/10,497.4,,2016/06/10,699.0431,,2016/06/10,3405.37,,2016/06/10,743.75,,2016/06/10,692.23,,2016/06/10,257.6,,2016/06/10,773.07,,2016/06/10,114.79
2016/06/10,2096.070068,,2016/06/10,1732,,2016/06/09,1082.29,,2016/06/09,117.99,,2016/06/09,993.33,,2016/06/10,1275.5,,2016/06/09,216.22,,2016/06/09,512.96,,2016/06/09,1298.49,,2016/06/09,614.42,,2016/06/09,97.61,,2016/06/09,499.38,,2016/06/09,710.9216,,2016/06/09,3454.69,,2016/06/09,757.57,,2016/06/09,704.56,,2016/06/09,260.25,,2016/06/09,777.88,,2016/06/09,116.35
2016/06/09,2115.47998,,2016/06/09,1705,,2016/06/08,1085.82,,2016/06/08,120.81,,2016/06/08,993.64,,2016/06/09,1263.9,,2016/06/08,219.01,,2016/06/08,510.69,,2016/06/08,1301.72,,2016/06/08,614.76,,2016/06/08,99.23,,2016/06/08,502.08,,2016/06/08,710.192,,2016/06/08,3500.48,,2016/06/08,757.4,,2016/06/08,708.61,,2016/06/08,255.61,,2016/06/08,775.19,,2016/06/08,116.93
2016/06/08,2119.120117,,2016/06/08,1675,,2016/06/07,1079.61,,2016/06/07,117.57,,2016/06/07,975.42,,2016/06/08,1263,,2016/06/07,218.82,,2016/06/07,506.23,,2016/06/07,1301.59,,2016/06/07,612.44,,2016/06/07,97.29,,2016/06/07,500.06,,2016/06/07,710.5542,,2016/06/07,3522.22,,2016/06/07,754.64,,2016/06/07,697.9,,2016/06/07,255.27,,2016/06/07,770.01,,2016/06/07,117.39
2016/06/07,2112.129883,,2016/06/07,1631,,2016/06/06,1080.76,,2016/06/06,117.68,,2016/06/06,969.76,,2016/06/07,1241,,2016/06/06,220.16,,2016/06/06,500.36,,2016/06/06,1298.22,,2016/06/06,613.1,,2016/06/06,98.63,,2016/06/06,499.49,,2016/06/06,703.7039,,2016/06/06,3608.23,,2016/06/06,754.81,,2016/06/06,680.3,,2016/06/06,248.6,,2016/06/06,768.92,,2016/06/06,116.2
2016/06/06,2109.409912,,2016/06/06,1640,,2016/06/03,1078.12,,2016/06/03,116.42,,2016/06/03,967.97,,2016/06/06,1244,,2016/06/03,218.11,,2016/06/03,499.74,,2016/06/03,1301.54,,2016/06/03,607.68,,2016/06/03,96.6,,2016/06/03,495.42,,2016/06/03,705.6044,,2016/06/03,3606.98,,2016/06/03,753.6,,2016/06/03,680.96,,2016/06/03,248.13,,2016/06/03,761.74,,2016/06/03,115.35
2016/06/03,2099.129883,,2016/06/03,1610,,2016/06/02,1086.5,,2016/06/02,114.74,,2016/06/02,955.6,,2016/06/03,1240.5,,2016/06/02,223.13,,2016/06/02,500.27,,2016/06/02,1307.19,,2016/06/02,608.78,,2016/06/02,92.39,,2016/06/02,493.22,,2016/06/02,703.4342,,2016/06/02,3628.41,,2016/06/02,751.35,,2016/06/02,682.84,,2016/06/02,252.84,,2016/06/02,758.94,,2016/06/02,117.07
2016/06/02,2105.26001,,2016/06/02,1598,,2016/06/01,1088.52,,2016/06/01,113.9,,2016/06/01,951.28,,2016/06/02,1212.4,,2016/06/01,222.47,,2016/06/01,501.14,,2016/06/01,1297.64,,2016/06/01,601.89,,2016/06/01,92.29,,2016/06/01,491.23,,2016/06/01,703.2933,,2016/06/01,3574.84,,2016/06/01,740.29,,2016/06/01,681.16,,2016/06/01,255.95,,2016/06/01,757.38,,2016/06/01,116.26
2016/06/01,2099.330078,,2016/06/01,1595,,2016/05/31,1089.58,,2016/05/31,113.23,,2016/05/31,956.06,,2016/06/01,1214.5,,2016/05/31,221.25,,2016/05/31,502.37,,2016/05/31,1299.85,,2016/05/31,599.11,,2016/05/31,92.83,,2016/05/31,488.72,,2016/05/31,699.3625,,2016/05/31,3570.8,,2016/05/31,739.25,,2016/05/31,676.04,,2016/05/31,255.7,,2016/05/31,755.2,,2016/05/31,118.47
2016/05/31,2096.949951,,2016/05/31,1606,,2016/05/27,1087.92,,2016/05/27,112.95,,2016/05/27,944.89,,2016/05/31,1212.1,,2016/05/27,221.85,,2016/05/27,499.48,,2016/05/27,1299.51,,2016/05/27,599.24,,2016/05/27,92.67,,2016/05/27,491.87,,2016/05/27,695.7083,,2016/05/27,3543.81,,2016/05/27,747.2,,2016/05/27,677.97,,2016/05/27,254.63,,2016/05/27,762.59,,2016/05/27,118.2
2016/05/27,2099.060059,,2016/05/27,1630,,2016/05/26,1080.06,,2016/05/26,113.23,,2016/05/26,939.93,,2016/05/27,1216.25,,2016/05/26,220.04,,2016/05/26,496.27,,2016/05/26,1294.51,,2016/05/26,596.96,,2016/05/26,93.87,,2016/05/26,491.12,,2016/05/26,691.5808,,2016/05/26,3517.21,,2016/05/26,744.44,,2016/05/26,676.65,,2016/05/26,252.11,,2016/05/26,762.26,,2016/05/26,117.85
2016/05/26,2090.100098,,2016/05/26,1646,,2016/05/25,1079.17,,2016/05/25,112.95,,2016/05/25,942.7,,2016/05/26,1223.85,,2016/05/25,221.91,,2016/05/25,499.2,,2016/05/25,1285.04,,2016/05/25,595.9,,2016/05/25,94.56,,2016/05/25,497.35,,2016/05/25,689.4728,,2016/05/25,3517.55,,2016/05/25,734.24,,2016/05/25,675.82,,2016/05/25,256.44,,2016/05/25,762.19,,2016/05/25,118.68
2016/05/25,2090.540039,,2016/05/25,1620.5,,2016/05/24,1075.15,,2016/05/24,110.07,,2016/05/24,925.89,,2016/05/25,1220.6,,2016/05/24,217.64,,2016/05/24,496.06,,2016/05/24,1274.5,,2016/05/24,593.44,,2016/05/24,91.96,,2016/05/24,492.73,,2016/05/24,685.637,,2016/05/24,3475.37,,2016/05/24,726.81,,2016/05/24,675.64,,2016/05/24,256.95,,2016/05/24,760.12,,2016/05/24,117.19
2016/05/24,2076.060059,,2016/05/24,1627,,2016/05/23,1051.63,,2016/05/23,109.3,,2016/05/23,932.95,,2016/05/24,1236.85,,2016/05/23,214.5,,2016/05/23,493.42,,2016/05/23,1258.92,,2016/05/23,586.96,,2016/05/23,93.78,,2016/05/23,488.15,,2016/05/23,669.4614,,2016/05/23,3385.35,,2016/05/23,698.98,,2016/05/23,647.64,,2016/05/23,252.97,,2016/05/23,754.13,,2016/05/23,115.07
2016/05/23,2048.040039,,2016/05/23,1631,,2016/05/20,1057.88,,2016/05/20,108.6,,2016/05/20,942.27,,2016/05/23,1245.9,,2016/05/20,214.72,,2016/05/20,495.84,,2016/05/20,1266.09,,2016/05/20,590.4,,2016/05/20,92.6,,2016/05/20,481.7,,2016/05/20,665.0847,,2016/05/20,3384.52,,2016/05/20,688.44,,2016/05/20,655.7,,2016/05/20,253.84,,2016/05/20,756.89,,2016/05/20,115.48
2016/05/20,2052.320068,,2016/05/20,1656,,2016/05/19,1049.72,,2016/05/19,108.63,,2016/05/19,931.59,,2016/05/20,1254.2,,2016/05/19,214.14,,2016/05/19,492.12,,2016/05/19,1259.48,,2016/05/19,586.66,,2016/05/19,92.77,,2016/05/19,478.3,,2016/05/19,644.7375,,2016/05/19,3342.32,,2016/05/19,663.2,,2016/05/19,644.86,,2016/05/19,253.67,,2016/05/19,753.61,,2016/05/19,114.39
2016/05/19,2040.040039,,2016/05/19,1660,,2016/05/18,1058.7,,2016/05/18,107.04,,2016/05/18,942.69,,2016/05/19,1246.25,,2016/05/18,216.06,,2016/05/18,496.64,,2016/05/18,1256.93,,2016/05/18,590.39,,2016/05/18,90.83,,2016/05/18,476.77,,2016/05/18,649.3511,,2016/05/18,3389.13,,2016/05/18,648.34,,2016/05/18,649.37,,2016/05/18,258.33,,2016/05/18,761.59,,2016/05/18,115.64
2016/05/18,2047.630005,,2016/05/18,1705,,2016/05/17,1055.65,,2016/05/17,108.67,,2016/05/17,938.32,,2016/05/18,1272.9,,2016/05/17,208.35,,2016/05/17,494.48,,2016/05/17,1261.66,,2016/05/17,588.88,,2016/05/17,95.39,,2016/05/17,482.47,,2016/05/17,638.8876,,2016/05/17,3371.04,,2016/05/17,647.99,,2016/05/17,651.97,,2016/05/17,256.42,,2016/05/17,765.51,,2016/05/17,115.54
2016/05/17,2047.209961,,2016/05/17,1708,,2016/05/16,1070.27,,2016/05/16,111.59,,2016/05/16,935.64,,2016/05/17,1277,,2016/05/16,208.81,,2016/05/16,493.13,,2016/05/16,1282.89,,2016/05/16,593.25,,2016/05/16,94.94,,2016/05/16,483.53,,2016/05/16,643.3254,,2016/05/16,3431.53,,2016/05/16,650.76,,2016/05/16,651.2,,2016/05/16,254.3,,2016/05/16,772.85,,2016/05/16,116.45
2016/05/16,2066.659912,,2016/05/16,1732,,2016/05/13,1061.32,,2016/05/13,109.84,,2016/05/13,933.57,,2016/05/16,1285.75,,2016/05/13,207.72,,2016/05/13,488.73,,2016/05/13,1268.27,,2016/05/13,586.25,,2016/05/13,92.01,,2016/05/13,476.58,,2016/05/13,633.2632,,2016/05/13,3384.16,,2016/05/13,650.41,,2016/05/13,645.76,,2016/05/13,249.01,,2016/05/13,764.02,,2016/05/13,115.2
2016/05/13,2046.609985,,2016/05/13,1709,,2016/05/12,1067.09,,2016/05/12,110.73,,2016/05/12,954.31,,2016/05/13,1265.9,,2016/05/12,211.15,,2016/05/12,493.58,,2016/05/12,1283.95,,2016/05/12,585.67,,2016/05/12,93.21,,2016/05/12,481.34,,2016/05/12,630.7747,,2016/05/12,3389.27,,2016/05/12,666.14,,2016/05/12,648.64,,2016/05/12,246.92,,2016/05/12,773.36,,2016/05/12,116.88
2016/05/12,2064.110107,,2016/05/12,1723,,2016/05/11,1064.62,,2016/05/11,111.12,,2016/05/11,963.37,,2016/05/12,1279.25,,2016/05/11,211.68,,2016/05/11,500.94,,2016/05/11,1280.81,,2016/05/11,587.91,,2016/05/11,95.22,,2016/05/11,476.91,,2016/05/11,642.2939,,2016/05/11,3419.81,,2016/05/11,656.11,,2016/05/11,650.12,,2016/05/11,255.33,,2016/05/11,769.12,,2016/05/11,116.71
2016/05/11,2064.459961,,2016/05/11,1751,,2016/05/10,1072.15,,2016/05/10,111.85,,2016/05/10,980.93,,2016/05/11,1276.85,,2016/05/10,212.87,,2016/05/10,509.21,,2016/05/10,1305.65,,2016/05/10,593.63,,2016/05/10,93.44,,2016/05/10,480.91,,2016/05/10,644.2994,,2016/05/10,3508.03,,2016/05/10,663.72,,2016/05/10,658.28,,2016/05/10,260.52,,2016/05/10,776.19,,2016/05/10,117.95
2016/05/10,2084.389893,,2016/05/10,1704,,2016/05/09,1056.9,,2016/05/09,108.49,,2016/05/09,962.57,,2016/05/10,1262.8,,2016/05/09,209.44,,2016/05/09,501.75,,2016/05/09,1288.94,,2016/05/09,587.99,,2016/05/09,90.6,,2016/05/09,473.58,,2016/05/09,636.5408,,2016/05/09,3476.26,,2016/05/09,652.14,,2016/05/09,654.52,,2016/05/09,255.72,,2016/05/09,763.31,,2016/05/09,116.29
2016/05/09,2058.689941,,2016/05/09,1733,,2016/05/06,1056.52,,2016/05/06,114.02,,2016/05/06,975.79,,2016/05/09,1265.25,,2016/05/06,210.83,,2016/05/06,502.41,,2016/05/06,1279.88,,2016/05/06,580.75,,2016/05/06,97.45,,2016/05/06,477.62,,2016/05/06,637.4965,,2016/05/06,3414.25,,2016/05/06,660.26,,2016/05/06,653.33,,2016/05/06,254.32,,2016/05/06,766.27,,2016/05/06,116.94
2016/05/06,2057.139893,,2016/05/06,1731,,2016/05/05,1044.41,,2016/05/05,113.11,,2016/05/05,969.47,,2016/05/06,1289,,2016/05/05,210.1,,2016/05/05,499.22,,2016/05/05,1267.2,,2016/05/05,586.64,,2016/05/05,95.15,,2016/05/05,474.7,,2016/05/05,636.8088,,2016/05/05,3439.08,,2016/05/05,658.19,,2016/05/05,654.42,,2016/05/05,252.34,,2016/05/05,760.91,,2016/05/05,115.79
2016/05/05,2050.629883,,2016/05/05,1738,,2016/05/04,1041.54,,2016/05/04,113.2,,2016/05/04,973.5,,2016/05/05,1280.25,,2016/05/04,210.87,,2016/05/04,503.15,,2016/05/04,1286.58,,2016/05/04,586.48,,2016/05/04,96.22,,2016/05/04,478.25,,2016/05/04,634.9034,,2016/05/04,3408.37,,2016/05/04,669.25,,2016/05/04,659.12,,2016/05/04,253.08,,2016/05/04,756.45,,2016/05/04,116.13
2016/05/04,2051.120117,,2016/05/04,1718,,2016/05/03,1041.88,,2016/05/03,113.74,,2016/05/03,984.03,,2016/05/04,1283,,2016/05/03,214.9,,2016/05/03,510.81,,2016/05/03,1293.79,,2016/05/03,590.9,,2016/05/03,98.22,,2016/05/03,481.71,,2016/05/03,642.6207,,2016/05/03,3472.84,,2016/05/03,675.82,,2016/05/03,661.57,,2016/05/03,262.38,,2016/05/03,761.52,,2016/05/03,118.37
2016/05/03,2063.370117,,2016/05/03,1749,,2016/05/02,1054.37,,2016/05/02,117.4,,2016/05/02,1002.89,,2016/05/03,1294,,2016/05/02,218.97,,2016/05/02,516.18,,2016/05/02,1305.59,,2016/05/02,589.33,,2016/05/02,103.76,,2016/05/02,488.58,,2016/05/02,650.2748,,2016/05/02,3505.93,,2016/05/02,695.87,,2016/05/02,675.05,,2016/05/02,261.61,,2016/05/02,765.49,,2016/05/02,119.68
2016/05/02,2081.429932,,2016/04/29,1785.5,,2016/04/29,1044.54,,2016/04/29,116.19,,2016/04/29,994.96,,2016/04/29,1285.65,,2016/04/29,216.87,,2016/04/29,513.56,,2016/04/29,1282.31,,2016/04/29,585.99,,2016/04/29,105.35,,2016/04/29,485.96,,2016/04/29,645.3384,,2016/04/29,3482.67,,2016/04/29,690.34,,2016/04/29,666.86,,2016/04/29,261.2,,2016/04/29,763.14,,2016/04/29,119.7
2016/04/29,2065.300049,,2016/04/28,1735,,2016/04/28,1046.98,,2016/04/28,116.56,,2016/04/28,1008.56,,2016/04/28,1256,,2016/04/28,218.85,,2016/04/28,519.42,,2016/04/28,1253.71,,2016/04/28,590.41,,2016/04/28,101.08,,2016/04/28,492.69,,2016/04/28,662.6943,,2016/04/28,3605.19,,2016/04/28,692.58,,2016/04/28,673.23,,2016/04/28,266.93,,2016/04/28,764.76,,2016/04/28,122.58
2016/04/28,2075.810059,,2016/04/27,1734,,2016/04/27,1054.47,,2016/04/27,118.13,,2016/04/27,1019.87,,2016/04/27,1247.4,,2016/04/27,221.33,,2016/04/27,527.38,,2016/04/27,1274.22,,2016/04/27,591.22,,2016/04/27,100.98,,2016/04/27,496.56,,2016/04/27,681.2573,,2016/04/27,3629.32,,2016/04/27,689.82,,2016/04/27,699.1,,2016/04/27,273.23,,2016/04/27,773.9,,2016/04/27,122.39
2016/04/27,2095.149902,,2016/04/26,1695,,2016/04/26,1054.62,,2016/04/26,115.56,,2016/04/26,1015.14,,2016/04/26,1241.7,,2016/04/26,221.01,,2016/04/26,527.16,,2016/04/26,1273.82,,2016/04/26,592.06,,2016/04/26,96.65,,2016/04/26,496.81,,2016/04/26,674.4172,,2016/04/26,3666.29,,2016/04/26,686.71,,2016/04/26,695.4,,2016/04/26,274.59,,2016/04/26,761.86,,2016/04/26,123.35
2016/04/26,2091.699951,,2016/04/25,1686,,2016/04/25,1061.83,,2016/04/25,114.65,,2016/04/25,1000.81,,2016/04/25,1238.9,,2016/04/25,219.16,,2016/04/25,523.22,,2016/04/25,1274.69,,2016/04/25,595.64,,2016/04/25,94.43,,2016/04/25,491.9,,2016/04/25,665.3151,,2016/04/25,3703.21,,2016/04/25,678.58,,2016/04/25,689.82,,2016/04/25,276.78,,2016/04/25,751.62,,2016/04/25,121.6
2016/04/25,2087.790039,,2016/04/22,1719,,2016/04/22,1061.32,,2016/04/22,115.65,,2016/04/22,1016.86,,2016/04/22,1243.25,,2016/04/22,220.38,,2016/04/22,529.88,,2016/04/22,1273.63,,2016/04/22,600.99,,2016/04/22,95.88,,2016/04/22,493.78,,2016/04/22,669.0272,,2016/04/22,3702.59,,2016/04/22,684.81,,2016/04/22,692.79,,2016/04/22,282.13,,2016/04/22,755.5,,2016/04/22,122.01
2016/04/22,2091.580078,,2016/04/21,1732,,2016/04/21,1095.03,,2016/04/21,115.54,,2016/04/21,977.76,,2016/04/21,1249.25,,2016/04/21,217.9,,2016/04/21,524.87,,2016/04/21,1278.06,,2016/04/21,600.24,,2016/04/21,96.4,,2016/04/21,490.61,,2016/04/21,667.6804,,2016/04/21,3703.19,,2016/04/21,662.86,,2016/04/21,703.49,,2016/04/21,288.48,,2016/04/21,754.64,,2016/04/21,122.41
2016/04/21,2091.47998,,2016/04/20,1697,,2016/04/20,1091.79,,2016/04/20,117.36,,2016/04/20,955.32,,2016/04/20,1252,,2016/04/20,219.09,,2016/04/20,528.16,,2016/04/20,1284.59,,2016/04/20,598.42,,2016/04/20,97.36,,2016/04/20,492.51,,2016/04/20,672.1525,,2016/04/20,3626.06,,2016/04/20,671.84,,2016/04/20,698.87,,2016/04/20,298.28,,2016/04/20,756.29,,2016/04/20,121.06
2016/04/20,2102.399902,,2016/04/19,1662,,2016/04/19,1091.91,,2016/04/19,117.78,,2016/04/19,943.46,,2016/04/19,1255.4,,2016/04/19,215.1,,2016/04/19,527.14,,2016/04/19,1282.43,,2016/04/19,595.69,,2016/04/19,97.02,,2016/04/19,494.95,,2016/04/19,665.6142,,2016/04/19,3625.89,,2016/04/19,660.78,,2016/04/19,690.56,,2016/04/19,298.58,,2016/04/19,757.72,,2016/04/19,119.88
2016/04/19,2100.800049,,2016/04/18,1620,,2016/04/18,1100.1,,2016/04/18,116.38,,2016/04/18,926.51,,2016/04/18,1234.3,,2016/04/18,211.35,,2016/04/18,521.17,,2016/04/18,1298.96,,2016/04/18,589.61,,2016/04/18,92.62,,2016/04/18,485.05,,2016/04/18,673.9589,,2016/04/18,3632.61,,2016/04/18,651.79,,2016/04/18,692.6,,2016/04/18,296.17,,2016/04/18,757.23,,2016/04/18,118.57
2016/04/18,2094.340088,,2016/04/15,1617,,2016/04/15,1088.67,,2016/04/15,115.56,,2016/04/15,927.74,,2016/04/15,1227.1,,2016/04/15,209.64,,2016/04/15,520.92,,2016/04/15,1287.65,,2016/04/15,584.32,,2016/04/15,91.89,,2016/04/15,484,,2016/04/15,673.4931,,2016/04/15,3590.53,,2016/04/15,644.71,,2016/04/15,694.32,,2016/04/15,297.94,,2016/04/15,752.28,,2016/04/15,116.85
2016/04/15,2080.72998,,2016/04/14,1613,,2016/04/14,1087.44,,2016/04/14,115.09,,2016/04/14,936.89,,2016/04/14,1233.85,,2016/04/14,211.38,,2016/04/14,522.77,,2016/04/14,1279.71,,2016/04/14,584.65,,2016/04/14,90.95,,2016/04/14,483.07,,2016/04/14,679.2766,,2016/04/14,3599.68,,2016/04/14,632.44,,2016/04/14,693.71,,2016/04/14,299.69,,2016/04/14,750.26,,2016/04/14,117.86
